"idEquipo","Equipo","Descripción"
1,"Boca Juniors","Equipo 1"
2,"River Plate","Equipo 2"
3,"Racing Club","Equipo 3"
4,"Velez Sarsfield","Equipo 4"
5,"Rosario Central","Equipo 5"
6,"Huracan","Equipo 6"
7,"Belgrano","Equipo 7"
8,"Talleres","Equipo 8"
9,"Independiente","Equipo 9"
10,"Aldosivi","Equipo 10"
11,"Estudiantes de La Plata","Equipo 11"
12,"Quilmes","Equipo 12"
13,"Nueva Chicago","Equipo 13"
14,"Almirante Brown","Equipo 14"
15,"Arsenal","Equipo 15"
16,"San Lorenzo","Equipo 16"
17,"Colón de Santa Fé","Equipo 17"
18,"Instituto","Equipo 18"
